noteId	participantId	createdAtMillis	timestampMillisOfFirstNonNMRStatus	firstNonNMRStatus	timestampMillisOfCurrentStatus	currentStatus	timestampMillisOfLatestNonNMRStatus	mostRecentNonNMRStatus
1578008899239772160	2F6FF3D69F4EC1ABB0C66DB83C0B9C60	1665061614219	-1		-1		-1	
1578008752304914435	79A4EB5E995260044AC6A13EBA01ADCF	1665061579188	-1		-1		-1	
1578037063059841030	3A460C43D5A42D6F42022E1CDEA99A9C	1665068329002	-1		-1		-1	
1578034318814851073	628C786C63B5A4D32E13C6C442E1863D	1665067674722	-1		-1	NEEDS_MORE_RATINGS	-1	
1578033951209189376	4909E5F97D41324D067973623B9A1D4A	1665067587078	1665092645311	CURRENTLY_RATED_NOT_HELPFUL	1665092645311	NEEDS_MORE_RATINGS	1665092645311	CURRENTLY_RATED_NOT_HELPFUL
1578031277374328835	7EDA3904E35101EAF8BD30717C6CDEAF	1665066949587	-1		-1	NEEDS_MORE_RATINGS	-1	
1578027474197225472	3280545D607EB56DF3C31042F9397E2C	1665066042839	1665080042332	CURRENTLY_RATED_HELPFUL	1665080042332	NEEDS_MORE_RATINGS	1665080042332	CURRENTLY_RATED_HELPFUL
1578047329499758594	589100D0FF46B1E4801D84B0876F774D	1665070776711	1667227323249	CURRENTLY_RATED_HELPFUL	1667227323249	CURRENTLY_RATED_HELPFUL	1667227323249	CURRENTLY_RATED_HELPFUL
1578044077714857984	FBD4C539ADDD48521B69767302DD70B1	1665070001424	1665124954373	CURRENTLY_RATED_HELPFUL	1665124954373	CURRENTLY_RATED_HELPFUL	1665124954373	CURRENTLY_RATED_HELPFUL
1578044069300867074	D37214A37760ED32BDF8F70B78E1F6F9	1665069999419	-1		-1	NEEDS_MORE_RATINGS	-1	
1578043908432478215	4F9E13BBF861C14D34BD7CABE9D712A2	1665069961066	-1		-1	NEEDS_MORE_RATINGS	-1	
1578043635714691072	F08DC39B537A99021F49731FD534440E	1665069896043	-1		-1	NEEDS_MORE_RATINGS	-1	
1578062740823891997	E8F21C488A799E2664C0B819CD035F67	1665074451058	-1		-1		-1	
1578057460665008129	DEDBE4198E75E5F1588BF5178F289206	1665073192169	-1		-1		-1	
1578056213161512962	398E7AC1E8E6D9E45ED959A012C30C68	1665072894741	1665106899513	CURRENTLY_RATED_NOT_HELPFUL	1665106899513	NEEDS_MORE_RATINGS	1665106899513	CURRENTLY_RATED_NOT_HELPFUL
1578056008064122880	881710791BE8513A4F3D2B2AF0556DF5	1665072845843	1665143108847	CURRENTLY_RATED_NOT_HELPFUL	1665143108847	NEEDS_MORE_RATINGS	1665143108847	CURRENTLY_RATED_NOT_HELPFUL
1578053867308138497	881710791BE8513A4F3D2B2AF0556DF5	1665072335446	-1		-1	NEEDS_MORE_RATINGS	-1	
1578082473162018818	D6C3218184E5700510B96FFF850F7AA6	1665079155614	1665157292271	CURRENTLY_RATED_NOT_HELPFUL	1665157292271	CURRENTLY_RATED_NOT_HELPFUL	1665157292271	CURRENTLY_RATED_NOT_HELPFUL
1578081971506483204	3280545D607EB56DF3C31042F9397E2C	1665079036011	1665085518439	CURRENTLY_RATED_HELPFUL	1665085518439	CURRENTLY_RATED_HELPFUL	1665085518439	CURRENTLY_RATED_HELPFUL
1578077753563398154	C19D2F3A836E64703279D619D796328D	1665078030376	1665085518439	CURRENTLY_RATED_HELPFUL	1665085518439	CURRENTLY_RATED_HELPFUL	1665085518439	CURRENTLY_RATED_HELPFUL
1578075105795547137	BBA9AA32E400FA86B440C09790BEE825	1665077399097	-1		-1		-1	
1578073469371224064	97DAF1AEC1165BB163F214180FD72A4D	1665077008941	1665096159303	CURRENTLY_RATED_NOT_HELPFUL	1665096159303	CURRENTLY_RATED_NOT_HELPFUL	1665096159303	CURRENTLY_RATED_NOT_HELPFUL
1578073241536663552	97DAF1AEC1165BB163F214180FD72A4D	1665076954622	1667421718402	CURRENTLY_RATED_NOT_HELPFUL	1667421718402	CURRENTLY_RATED_NOT_HELPFUL	1667421718402	CURRENTLY_RATED_NOT_HELPFUL
1578072831736385536	97DAF1AEC1165BB163F214180FD72A4D	1665076856919	1667421718402	CURRENTLY_RATED_NOT_HELPFUL	1667421718402	CURRENTLY_RATED_NOT_HELPFUL	1667421718402	CURRENTLY_RATED_NOT_HELPFUL
1578071930074284035	8B9C8A2517EAA3A2E0309B4B994D8993	1665076641946	1665092645311	CURRENTLY_RATED_NOT_HELPFUL	1665092645311	NEEDS_MORE_RATINGS	1665092645311	CURRENTLY_RATED_NOT_HELPFUL
1578094203065843712	1A8BD593DE39D5B5122DC70919E03BBF	1665081952244	-1		-1	NEEDS_MORE_RATINGS	-1	
1578090816303763456	8D819B31852B5BA225234EDA8706009E	1665081144774	-1		-1	NEEDS_MORE_RATINGS	-1	
1578088604626190336	87F9A3AD36213601F705EC926F742E9B	1665080617469	-1		-1	NEEDS_MORE_RATINGS	-1	
1578085260801282053	87F9A3AD36213601F705EC926F742E9B	1665079820240	-1		-1	NEEDS_MORE_RATINGS	-1	
1578109099715268612	97DAF1AEC1165BB163F214180FD72A4D	1665085503874	1667421718402	CURRENTLY_RATED_NOT_HELPFUL	1667421718402	CURRENTLY_RATED_NOT_HELPFUL	1667421718402	CURRENTLY_RATED_NOT_HELPFUL
1578122553444470784	09FCAAAE7CDC4D0B376B80C2D6E36C1E	1665088711495	-1		-1	NEEDS_MORE_RATINGS	-1	
1578114524451848193	DE451957B3B6E565C9418FBE5B727004	1665086797236	-1		-1		-1	
1578140606529908736	DB835EE09E208271F1AE42AA00D8490D	1665093015688	-1		-1	NEEDS_MORE_RATINGS	-1	
1578136455322517504	DB835EE09E208271F1AE42AA00D8490D	1665092025963	-1		-1		-1	
1578148060877692928	34CE9DB0BAADC3A031EC0BC854CDD2E2	1665094792947	-1		-1	NEEDS_MORE_RATINGS	-1	
